Ref,Qnty,Total,Value,Cmp name,Footprint
"C1, C2, C5, C6, C9, ",5,50,10u,C,Capacitor_SMD:C_0805_2012Metric
"C3, C17, C20, ",3,30,1u,C,Capacitor_SMD:C_0805_2012Metric
"C4, C7, C10, ",3,30,0.1u,C,Capacitor_SMD:C_0805_2012Metric
"C8, ",1,10,10n,C,Capacitor_SMD:C_0805_2012Metric
"C11, C12, C13, C14, C15, C16, C21, C22, C23, ",9,90,22u,C,Capacitor_SMD:C_0805_2012Metric
"C18, C19, ",2,20,10p,C,Capacitor_SMD:C_0805_2012Metric
"D1, D2, D5, ",3,30,LED,LED,LED_SMD:LED_0805_2012Metric
"D3, D4, ",2,20,D_Schottky,D_Schottky,Diode_SMD:D_SMA
"D6, ",1,10,D_Schottky,D_Schottky,Diode_SMD:D_SMB
"DC1, DC2, ",2,20,KH-DC-044D-2.0STM,KH-DC-044D-2.0STM,1component:DC-IN-TH_KH-DC-044D-2.0STM
"L1, L2, ",2,20,15u,L,1component:IND-SMD_L7.5-W6.6
"L3, ",1,10,2.2u,L,1component:IND-SMD_L7.5-W6.6
"L4, ",1,10,1u,L,Inductor_SMD:L_1008_2520Metric
"Q1, Q3, ",2,20,AOD417,Q_PMOS_GSD,Package_TO_SOT_SMD:TO-252-2
"Q2, ",1,10,2N7002,2N7002,Package_TO_SOT_SMD:SOT-23
"Q4, ",1,10,HSU60P02,Q_PMOS_GSD,Package_TO_SOT_SMD:TO-252-2
"R1, R2, R7, R9, ",4,40,10K,R,Resistor_SMD:R_0805_2012Metric
"R3, R10, ",2,20,1K,R,Resistor_SMD:R_0805_2012Metric
"R4, ",1,10,R_Shunt,R_Shunt,1component:R_2512_6332Metric
"R5, ",1,10,100K,R,Resistor_SMD:R_0805_2012Metric
"R6, R11, R12, ",3,30,100k,R,Resistor_SMD:R_0805_2012Metric
"R8, ",1,10,46.5K,R,Resistor_SMD:R_0805_2012Metric
"R13, ",1,10,51k,R,Resistor_SMD:R_0805_2012Metric
"R14, ",1,10,100,R,Resistor_SMD:R_0805_2012Metric
"R15, ",1,10,200k,R,Resistor_SMD:R_0805_2012Metric
"R16, ",1,10,22K,R,Resistor_SMD:R_0805_2012Metric
"RV1, ",1,10,50K,R_Potentiometer,1component:Potentiometer_Bourns_TC33X_Vertical
"SW1, ",1,10,SW_SPDT,SW_SPDT,Button_Switch_SMD:SW_SPDT_PCM12
"U1, ",1,10,CN3765,CN3765,1component:SOIC-10_L4.9-W3.9-P1.00-LS6.0-BL
"U2, ",1,10,FP6188XR-G1,FP6188XR-G1,1component:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.71x3.4mm_ThermalVias
"U3, ",1,10,FP6296XR-G1,FP6296XR-G1,1component:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.71x3.4mm_ThermalVias
